Category,Text
ca_text,WE GOT IN THE CAR AND MY DAD'S PHONE AUTO CONNECTS TO IT AND THE AUDIO THAT CAME UP WAS PORN IM CRYING
ca_text,"RT @utdxtra: For some reason, there’s no audio on the video, but the girl’s father was having a bit of banter about the result, Carragher l…"
ca_text,"I liked a @YouTube video https://t.co/UyNgZtCY4w Extreme Car Audio Fail &amp; FIX - 4 12"" DC Audio Level 1 Subwoofers Arrive - Unboxing"
ca_text,"I liked a @YouTube video https://t.co/JxudunH632 Extreme Car Audio Fail &amp; FIX - 4 12"" DC Audio Level 1 Subwoofers Arrive - Unboxing"
ca_text,3?17?????18????Car Audio Club????????Super High-end Car Audio??????? ?Mycar-life? https://t.co/QuLhG2d8rs
ca_text,"RT @utdxtra: For some reason, there’s no audio on the video, but the girl’s father was having a bit of banter about the result, Carragher l…"
ca_text,"RT @utdxtra: For some reason, there’s no audio on the video, but the girl’s father was having a bit of banter about the result, Carragher l…"
ca_text,(Audio) Pursuit: @KokomoPolice in car chase from Lowes.. https://t.co/TFlQHJFlF4
ca_text,3?17?????18????Car Audio Club????????Super High-end Car Audio??????? ?Mycar-life? https://t.co/uOCx3s336U
ca_text,"RT @utdxtra: For some reason, there’s no audio on the video, but the girl’s father was having a bit of banter about the result, Carragher l…"
ca_text,"I liked a @YouTube video https://t.co/38K8ydFJhk Extreme Car Audio Fail &amp; FIX - 4 12"" DC Audio Level 1 Subwoofers Arrive - Unboxing"
ca_text,"RT @utdxtra: For some reason, there’s no audio on the video, but the girl’s father was having a bit of banter about the result, Carragher l…"
ca_text,"RT @utdxtra: For some reason, there’s no audio on the video, but the girl’s father was having a bit of banter about the result, Carragher l…"
ca_text,"@MirrorFootball He set up the phone to record while having a daughter in the car, interestingly he is listening to 'how to save a life' as shown on his audio player but ready to kill his own daughter!"
ca_text,12v Car Auto Boat Audio Fuse High Power 100 Amp Manual Reset Circuit Breaker https://t.co/4hYEYBSDEF #automation https://t.co/2mcDjGITO4
ca_text,"RT @utdxtra: For some reason, there’s no audio on the video, but the girl’s father was having a bit of banter about the result, Carragher l…"
ca_text,NVX Solid Gold Car Audio Subwoofer  Special Edition 12 VSWv2  Product Overview https://t.co/ojgy0u6q6x #nvx #solid https://t.co/ibfOvLIwIE
ca_text,"RT @utdxtra: For some reason, there’s no audio on the video, but the girl’s father was having a bit of banter about the result, Carragher l…"
ca_text,"RT @xeni: Stormy’s got him by the nuts, her race car driver lawyer is playing this better than Saul Goodman on a lucky streak, there’s text…"
ca_text,"RT @utdxtra: For some reason, there’s no audio on the video, but the girl’s father was having a bit of banter about the result, Carragher l…"
ca_text,"I liked a @YouTube video https://t.co/MrRPBVXUJz Extreme Car Audio Fail &amp; FIX - 4 12"" DC Audio Level 1 Subwoofers Arrive - Unboxing"
ca_text,"I liked a @YouTube video https://t.co/rUzAGz5JyA Extreme Car Audio Fail &amp; FIX - 4 12"" DC Audio Level 1 Subwoofers Arrive - Unboxing"
ca_text,"RT @utdxtra: For some reason, there’s no audio on the video, but the girl’s father was having a bit of banter about the result, Carragher l…"
ca_text,"RT @utdxtra: For some reason, there’s no audio on the video, but the girl’s father was having a bit of banter about the result, Carragher l…"
ca_text,"I liked a @YouTube video https://t.co/09AxrGuLl4 Extreme Car Audio Fail &amp; FIX - 4 12"" DC Audio Level 1 Subwoofers Arrive - Unboxing"
ca_text,"I liked a @YouTube video https://t.co/nk70aSNQqS Extreme Car Audio Fail &amp; FIX - 4 12"" DC Audio Level 1 Subwoofers Arrive - Unboxing"
ca_text,"RT @utdxtra: For some reason, there’s no audio on the video, but the girl’s father was having a bit of banter about the result, Carragher l…"
ca_text,"I liked a @YouTube video https://t.co/Z0mcOQWXXM Extreme Car Audio Fail &amp; FIX - 4 12"" DC Audio Level 1 Subwoofers Arrive - Unboxing"
ca_text,"RT @utdxtra: For some reason, there’s no audio on the video, but the girl’s father was having a bit of banter about the result, Carragher l…"
ca_text,"RT @utdxtra: For some reason, there’s no audio on the video, but the girl’s father was having a bit of banter about the result, Carragher l…"
ca_text,"RT @utdxtra: For some reason, there’s no audio on the video, but the girl’s father was having a bit of banter about the result, Carragher l…"
ca_text,"RT @utdxtra: For some reason, there’s no audio on the video, but the girl’s father was having a bit of banter about the result, Carragher l…"
ca_text,"RT @utdxtra: For some reason, there’s no audio on the video, but the girl’s father was having a bit of banter about the result, Carragher l…"
ca_text,"RT @utdxtra: For some reason, there’s no audio on the video, but the girl’s father was having a bit of banter about the result, Carragher l…"
ca_text,"RT @utdxtra: For some reason, there’s no audio on the video, but the girl’s father was having a bit of banter about the result, Carragher l…"
ca_text,"RT @utdxtra: For some reason, there’s no audio on the video, but the girl’s father was having a bit of banter about the result, Carragher l…"
ca_text,"RT @utdxtra: For some reason, there’s no audio on the video, but the girl’s father was having a bit of banter about the result, Carragher l…"
ca_text,"RT @utdxtra: For some reason, there’s no audio on the video, but the girl’s father was having a bit of banter about the result, Carragher l…"
ca_text,"RT @utdxtra: For some reason, there’s no audio on the video, but the girl’s father was having a bit of banter about the result, Carragher l…"
ca_text,"RT @utdxtra: For some reason, there’s no audio on the video, but the girl’s father was having a bit of banter about the result, Carragher l…"
ca_text,"RT @utdxtra: For some reason, there’s no audio on the video, but the girl’s father was having a bit of banter about the result, Carragher l…"
ca_text,With that Carra video I'm gonna guess there's no audio on it because the ones filming went over the line no way he's just spits at the car for being called anbellend or something like that
ca_text,"RT @utdxtra: For some reason, there’s no audio on the video, but the girl’s father was having a bit of banter about the result, Carragher l…"
ca_text,"RT @utdxtra: For some reason, there’s no audio on the video, but the girl’s father was having a bit of banter about the result, Carragher l…"
ca_text,"RT @utdxtra: For some reason, there’s no audio on the video, but the girl’s father was having a bit of banter about the result, Carragher l…"
ca_text,RT @Im_0n1: My son talking bout “why u got stuff n my car seat when u knew i was getting n the car “ Lmaoo my fault boss
ca_text,"RT @utdxtra: For some reason, there’s no audio on the video, but the girl’s father was having a bit of banter about the result, Carragher l…"
ca_text,"RT @utdxtra: For some reason, there’s no audio on the video, but the girl’s father was having a bit of banter about the result, Carragher l…"
ca_text,"RT @utdxtra: For some reason, there’s no audio on the video, but the girl’s father was having a bit of banter about the result, Carragher l…"
ca_text,"RT @utdxtra: For some reason, there’s no audio on the video, but the girl’s father was having a bit of banter about the result, Carragher l…"
ca_text,"RT @utdxtra: For some reason, there’s no audio on the video, but the girl’s father was having a bit of banter about the result, Carragher l…"
ca_text,"RT @utdxtra: For some reason, there’s no audio on the video, but the girl’s father was having a bit of banter about the result, Carragher l…"
ca_text,"RT @utdxtra: For some reason, there’s no audio on the video, but the girl’s father was having a bit of banter about the result, Carragher l…"
ca_text,"RT @utdxtra: For some reason, there’s no audio on the video, but the girl’s father was having a bit of banter about the result, Carragher l…"
ca_text,"RT @utdxtra: For some reason, there’s no audio on the video, but the girl’s father was having a bit of banter about the result, Carragher l…"
ca_text,"For some reason, there’s no audio on the video, but the girl’s father was having a bit of banter about the result, Carragher lost his head and spat towards the car. You can see the video with audio, here: https://t.co/HPB82lsQz0"
ca_text,"I liked a @YouTube video https://t.co/rXVYWj2lyx Extreme Car Audio Fail &amp; FIX - 4 12"" DC Audio Level 1 Subwoofers Arrive - Unboxing"
ca_text,RT @gaelynnwoods: Weekend car trip? You need #audio books. #GhostsForAllAges #RomSuspense #WomensFic https://t.co/YtIRuH46Eh #ArtKNB @ann_s…
ca_text,"Gostei de um vídeo do @YouTube https://t.co/C2C1bXfJ1P Extreme Car Audio Fail &amp; FIX - 4 12"" DC Audio Level 1 Subwoofers Arrive -"
ca_text,"Extreme Car Audio ""bucket-o-bass"" Fail &amp; FIX - 4 12"" DC Audio Level 1 Subwoofers Arrive - Unboxing (Update Video... https://t.co/8yUJSS38GU"
ca_text,"RT @xeni: Stormy’s got him by the nuts, her race car driver lawyer is playing this better than Saul Goodman on a lucky streak, there’s text…"
ca_text,"I added a video to a @YouTube playlist https://t.co/3mnQ4qnNN9 Extreme Car Audio Fail &amp; FIX - 4 12"" DC Audio Level 1 Subwoofers Arrive"
ca_text,"https://t.co/dHGEXnehCn Bluetooth Receiver 4.2, Wireless Audio, NFC Enabled, with 3.5mm Dual Audio Output for Home/Car Stereo by #LiDiwee https://t.co/Vx7M1p9eQg"
ca_text,"Extreme Car Audio Fail &amp; FIX - 4 12"" DC Audio Level 1 Subwoofers Arrive - Unboxing (Update Video 3): https://t.co/3mnQ4qnNN9 via"
ca_text,audio porn car toons sex https://t.co/rrHCyVunnC
ca_text,I liked a @YouTube video https://t.co/3sbkpWVbDf ? Relaxing Rain on a Car at Night - BLACK SCREEN - 10 Hrs - 3D Audio Sounds for
ca_text,ICYMI: Cam¨¦ra de recul sans fil inclus Linux EinCar MP5 Double Din dans Dash Radio FM voiture 2DIN 7 pouces Car Stereo Vid¨¦o Syst¨¨me audio Bluetooth Mirror Link USB SD Fonction https://t.co/wS5wmFejxq https://t.co/BwH6rwj4u3
ca_text,"RT @xeni: Stormy’s got him by the nuts, her race car driver lawyer is playing this better than Saul Goodman on a lucky streak, there’s text…"
ca_text,"RT @xeni: Stormy’s got him by the nuts, her race car driver lawyer is playing this better than Saul Goodman on a lucky streak, there’s text…"
ca_text,"Extreme Car Audio FAIL &amp; Fix - ""Bucket o' BASS"" Chevy Silverado - Intro, Walk Around, Tear Down - Update 4 12""... https://t.co/oVokJQ4Pnr"
ca_text,"RT @xeni: Stormy’s got him by the nuts, her race car driver lawyer is playing this better than Saul Goodman on a lucky streak, there’s text…"
ca_text,"Took the beast out for a quick ride. #Honda #400ex #atv #quad #braaap

Interested in a remote car starter or upgraded car audio system? View our profile for our contact information &amp; give one of our team members a call today.
#ford #chevy #smartstart #jeep #toyota https://t.co/z6bgcwIbBW"
ca_text,"Ok - I’m going to sit down and watch now 

How is Matt Di Beggar detto doing ? 

Is he making DW Happy  ?  Any in car audio with Sponsors Denny and Harv giving him an AttaBOY ? 

Gotta make the Sponsors proud !"
ca_text,"RT @xeni: Stormy’s got him by the nuts, her race car driver lawyer is playing this better than Saul Goodman on a lucky streak, there’s text…"
ca_text,So I'm trying to catch up since stupid raceview audio wouldn't work on my phone. But had MRN so not completely lost. Guessing car isn't to @MartinTruex_Jr @FRRacingTeam liking? Time for changes...
ca_text,@MamaPKL @DaveFultonWrang @TariBKfan @KimKawata @kross700 No. We’re watching on my tv. I have the NASCAR app giving in car audio and stuff.
ca_text,"One time I had this girl in my car, and I paired my car with my phone and the audio from the porn I was watching earlier blasted through the speakers. Anyways, we don’t really talk much these days"
ca_text,MG GT GTS audio Upgrade radio Car android wifi GPS navigation camera https://t.co/F1lMUfsMPD https://t.co/7NTMsAVAEx
ca_text,Toyota Passo Car audio radio update android GPS navigation camera https://t.co/o1B55xbXV3 https://t.co/B0urdy7blP
ca_text,What is your favorite book? Wouldn't a audio version for the car be nice? get #free audiobooks from Amazon https://t.co/n8BCuSUfvy #freebies
ca_text,"RT @xeni: Stormy’s got him by the nuts, her race car driver lawyer is playing this better than Saul Goodman on a lucky streak, there’s text…"
ca_text,"RT @xeni: Stormy’s got him by the nuts, her race car driver lawyer is playing this better than Saul Goodman on a lucky streak, there’s text…"
ca_text,"RT @xeni: Stormy’s got him by the nuts, her race car driver lawyer is playing this better than Saul Goodman on a lucky streak, there’s text…"
ca_text,@NASCAR  Fourth week in a row no audio on the 42 car on your mobile app. I will be contacting my credit card company to charge back my annual subscription. I'll come back when you fix it.
ca_text,Michael's audiobook will increase your sales while driving your car or traveling. Click https://t.co/mPIpnabKsy for Free Audio Sample #sales https://t.co/p4Xazdt47d
ca_text,"RT @xeni: Stormy’s got him by the nuts, her race car driver lawyer is playing this better than Saul Goodman on a lucky streak, there’s text…"
ca_text,"RT @xeni: Stormy’s got him by the nuts, her race car driver lawyer is playing this better than Saul Goodman on a lucky streak, there’s text…"
ca_text,"@ASManess @dannycatsteve @GallesKraco3 I actually totally agree with that. My problem was the 150 minutes leading up to that cut away. I didn't even hear what Bourdais said while still in the car, because the audio cut out for my affiliate (which happened 7-8 other times during the race)."
ca_text,"RT @xeni: Stormy’s got him by the nuts, her race car driver lawyer is playing this better than Saul Goodman on a lucky streak, there’s text…"
ca_text,Is 30 an acceptable age to start listening to audio books in the car...? #AskTwitter https://t.co/11sI2kZvEm
ca_text,RT @MTXAudio: Choosing the right subwoofer for you has never been easier... https://t.co/DivtO9cWkz https://t.co/nc6STgQc1s
ca_text,"RT @xeni: Stormy’s got him by the nuts, her race car driver lawyer is playing this better than Saul Goodman on a lucky streak, there’s text…"
ca_text,Me gustó un video de @YouTube https://t.co/KYzYPomESF CABLE PIRATA VS CABLE DE CALIDAD NO TE DEJES ENGAÑAR / CAR AUDIO
ca_text,Hertz HCP4D 1160w 4 Channel Digital Bridgeable Car Audio Speaker Sub Amplifier https://t.co/vXzA4ym8CT via @eBay
ca_text,Two 7 Inch Android Car &lt;b&gt;DVD&lt;/b&gt; Player Audio For Audi/A4/S4 2002-2008 Quad Core CANBUS Wifi GPS Navigation... https://t.co/qjkAbBOq46
ca_text,"RT @xeni: Stormy’s got him by the nuts, her race car driver lawyer is playing this better than Saul Goodman on a lucky streak, there’s text…"
ca_text,"RT @xeni: Stormy’s got him by the nuts, her race car driver lawyer is playing this better than Saul Goodman on a lucky streak, there’s text…"
ca_text,"RT @xeni: Stormy’s got him by the nuts, her race car driver lawyer is playing this better than Saul Goodman on a lucky streak, there’s text…"
ca_text,"RT @xeni: Stormy’s got him by the nuts, her race car driver lawyer is playing this better than Saul Goodman on a lucky streak, there’s text…"
ca_text,"RT @xeni: Stormy’s got him by the nuts, her race car driver lawyer is playing this better than Saul Goodman on a lucky streak, there’s text…"
wt_text,"@MPRodriguezR Calla, unos walkie talkies? Estamos a tango"
wt_text,*brings Walkie Talkies on Spring Break* “Wait. Okay. What. OVER.
wt_text,"RT @john_mcguirk: @sarahcareyIRL @RMcGreevy1301 @PaddyJManning @KarlBrophy For the record, on the ""how did we know where our March was"" que…"
wt_text,"RT @john_mcguirk: @sarahcareyIRL @RMcGreevy1301 @PaddyJManning @KarlBrophy For the record, on the ""how did we know where our March was"" que…"
wt_text,"RT @john_mcguirk: @sarahcareyIRL @RMcGreevy1301 @PaddyJManning @KarlBrophy For the record, on the ""how did we know where our March was"" que…"
wt_text,"@TristinCastillo i called the end bed i already texted y’all but she took it :/ 
BUT we can have walkie talkies &amp; how are we supposed to play laser tag now"
wt_text,"@sarahcareyIRL @RMcGreevy1301 @PaddyJManning @KarlBrophy For the record, on the ""how did we know where our March was"" question, we use an app called Zello to equip staff with walkie talkies (it's great). You can hear some comms chatter here. https://t.co/8OlGHgtBP5"
wt_text,"RT @WowsBox: Enter to have a chance to win OuterStar Durable Walkie Talkies for Kids(Green) via code.
Enter here &gt;&gt; https://t.co/Xzit3PzwXG…"
wt_text,"There’s like 8 of us working, all with walkie talkies. They had to deal with my Beer Lead and myself reciting @JanetJackson’s That’s The Way Love Goes over them."
wt_text,Greaval G777 Walkie Talkies Long Range Portable 2 Way Radio 16 CH FRS/GMRS Radios (2 Pack) https://t.co/i3e7Ka3A6n
wt_text,Enter to win OuterStar Durable Walkie Talkies for Kids (Ends 3/13 - One Time Entry) https://t.co/nsCKg61fnM #Sweepstakes #Contest #Giveaway #win
wt_text,"RT @WowsBox: Enter to have a chance to win OuterStar Durable Walkie Talkies for Kids(Green) via code.
Enter here &gt;&gt; https://t.co/Xzit3PzwXG…"
wt_text,"RT @WowsBox: Enter to have a chance to win OuterStar Durable Walkie Talkies for Kids(Green) via code.
Enter here &gt;&gt; https://t.co/Xzit3PzwXG…"
wt_text,Guide to Walkie Talkies - Ebuyer Blog https://t.co/fUnHaZqHKI
wt_text,Walkie Talkies Voice Scrambler 2 Way Radios w... by LUITON https://t.co/CE8bdvcVjr via @amazon https://t.co/pxmfXa1nba
wt_text,@9_volt88 walkie talkies taped to behind their heads
wt_text,"Secret Service walkie-talkies, Intercom Squawkers to Narco Fuzz and Florida Mafia Real Estate Speculators."
wt_text,"Walkie Talkies for Kids, 22 Channel Walkie Talkies 2 Way Radio 3 Miles (Up to 5Miles) Handheld Mini Walkie Talkies for Kids, Toys for 5-year old Boys and Girls (1 Pair) https://t.co/EeplHiJB6U https://t.co/eDoubHPMjj"
wt_text,RT @alrightambs: DCHAKS WE NEED WALKIE TALKIES https://t.co/C6zFeRtCHq
wt_text,DCHAKS WE NEED WALKIE TALKIES https://t.co/C6zFeRtCHq
wt_text,"Walkie Talkies, Two-Way Radios, Radio Communication, Consumer Electronics - PicClick https://t.co/KKAcqvVgwV"
wt_text,"Toys for 3-15 Year Old Boy, Gifts for Teen Girls Boys , DIMY Walkie Talkies for Kids Teen Boy Gifts Birthday Presents Green DJ01 https://t.co/h7Wa90a0J7"
wt_text,RT @ValeeGrrl: Seriously considering getting a set of walkie talkies so I can ask husband to bring me stuff when he's in the other room and…
wt_text,"@gunnarolla Yes, but it’s always better to ask the people who walk the sidelines with the clipboards and walkie talkies"
wt_text,@99737E @trixxx_es Supposedly Cousteau and his cronies invented walkie-talkies in the helmet. But we made ours with a special rabbit ear on the top so we could pipe in some music - Steve Zissou https://t.co/02RtUiow44
wt_text,@BridgetMcCaff Ooooooo shit this would have been an awful week if there were no walkie talkies......
wt_text,RT @Sassyassgoat: I ordered walkie-talkies for me and Mimi to use in the apartment and I can’t fucking wait omg
wt_text,I ordered walkie-talkies for me and Mimi to use in the apartment and I can’t fucking wait omg
wt_text,"Walkie Talkies for Kids, iksee kids Walkie Talkies Long Range 6Km, 22 Channel Two Way… https://t.co/rdqeFy0D3C"
wt_text,"Walkie talkies | in Northampton, Northamptonshire | Gumtree https://t.co/2ClWfjqI0c"
wt_text,"RT @WowsBox: Enter to have a chance to win OuterStar Durable Walkie Talkies for Kids(Green) via code.
Enter here &gt;&gt; https://t.co/Xzit3PzwXG…"
wt_text,@badimo please may you add walkie talkies to the game pls
wt_text,@Target @HunterBoots WOW RAIN OR SHINE TARGET=TRASH CAN'T EVEN TAKE CARE OF BIG LOS ANGELES STORES WOW NICE ENTRANCE SMELLS LIKE A HERD OF CATTLE DIED COUPLED WITH BOTCHED PRODUCTS TURN YOUR WALKIE TALKIES OFF NOBODY WANTS THIS AND WILL PROSECUTE ON OT YOUR NOT THE PD MORONS
wt_text,"If you’re thinking of the kind of thing that we’ve seen in the past / Chanting gurus, walkie-talkies, walkouts, hypnotists, tempers, fists / Not so fast!"
wt_text,Grown men pretending to talk on imaginary walkie talkies.
wt_text,"RT @WowsBox: Enter to have a chance to win OuterStar Durable Walkie Talkies for Kids(Green) via code.
Enter here &gt;&gt; https://t.co/Xzit3PzwXG…"
wt_text,@SteveSansweet Did Chiquita banana do a Star Wars promotion by selling banana walkie talkies in 1979? Someone trying to dupe us on Ebay.
wt_text,Long Range Walkie Talkies - https://t.co/aJ2gm8HlSs https://t.co/T1v54fStHM
wt_text,Walkie Talkies are the most clutch thing in the world for traveling across the country in a convoy
wt_text,Win Free and 30% Off OuterStar Durable Walkie Talkies for Kids(Green) https://t.co/x9rtGujysq
