Week,Searches
2017-03-26,94
2017-04-02,100
2017-04-09,96
2017-04-16,86
2017-04-23,90
2017-04-30,86
2017-05-07,85
2017-05-14,90
2017-05-21,90
2017-05-28,90
2017-06-04,90
2017-06-11,87
2017-06-18,93
2017-06-25,93
2017-07-02,90
2017-07-09,90
2017-07-16,95
2017-07-23,89
2017-07-30,97
2017-08-06,93
2017-08-13,90
2017-08-20,85
2017-08-27,84
2017-09-03,82
2017-09-10,86
2017-09-17,84
2017-09-24,82
2017-10-01,81
2017-10-08,85
2017-10-15,84
2017-10-22,84
2017-10-29,82
2017-11-05,86
2017-11-12,85
2017-11-19,96
2017-11-26,85
2017-12-03,86
2017-12-10,90
2017-12-17,92
2017-12-24,99
2017-12-31,86
2018-01-07,86
2018-01-14,80
2018-01-21,84
2018-01-28,87
2018-02-04,87
2018-02-11,85
2018-02-18,93
2018-02-25,91
2018-03-04,93
2018-03-11,91
2018-03-18,92
