Week,Searches
2017-03-05,79
2017-03-12,75
2017-03-19,74
2017-03-26,74
2017-04-02,86
2017-04-09,85
2017-04-16,81
2017-04-23,84
2017-04-30,79
2017-05-07,85
2017-05-14,92
2017-05-21,79
2017-05-28,78
2017-06-04,92
2017-06-11,84
2017-06-18,94
2017-06-25,81
2017-07-02,82
2017-07-09,79
2017-07-16,83
2017-07-23,83
2017-07-30,86
2017-08-06,84
2017-08-13,79
2017-08-20,76
2017-08-27,78
2017-09-03,82
2017-09-10,72
2017-09-17,76
2017-09-24,68
2017-10-01,81
2017-10-08,69
2017-10-15,68
2017-10-22,80
2017-10-29,76
2017-11-05,73
2017-11-12,72
2017-11-19,93
2017-11-26,85
2017-12-03,96
2017-12-10,96
2017-12-17,100
2017-12-24,93
2017-12-31,85
2018-01-07,76
2018-01-14,78
2018-01-21,72
2018-01-28,83
2018-02-04,70
2018-02-11,79
2018-02-18,85
2018-02-25,85
